name,category,excepnses,price_gross,unit_profit,marginal_profit,food_cost
Miso krewetki,ZUPY,5.45,27.0,13.27,70.90%,29.1%
Miso łosoś,ZUPY,3.59,27.0,18.77,83.95%,16.0%
Miso inari tofu,ZUPY,1.51,25.0,19.19,92.71%,7.3%
Zestaw startowy | 16 szt,ZESTAWY,20.13,81.9,47.68,70.31%,29.7%
Hosomaki set | 56 szt,ZESTAWY,23.48,100.0,59.32,71.64%,28.4%
Miyagi set | 30 szt,ZESTAWY,27.61,130.0,80.03,74.35%,25.7%
Kurama set | 20 szt,ZESTAWY,27.91,130.0,79.73,74.08%,25.9%
Grill set | 30 szt,ZESTAWY,30.29,135.0,81.49,72.90%,27.1%
Duo set | 28 szt,ZESTAWY,34.6,160.0,97.88,73.89%,26.1%
Philadelphia | 24 szt,ZESTAWY,38.04,170.0,102.72,72.98%,27.0%
Zestaw Amour | 36 szt,ZESTAWY,42.75,195.0,118.71,73.52%,26.5%
Yami set | 38 szt (Black Friday),ZESTAWY,45.83,210.0,128.05,73.64%,26.4%
Premium sake set | 38 szt,ZESTAWY,49.59,260.0,165.69,76.97%,23.0%
Futomaki set | 48 szt,ZESTAWY,50.43,260.0,164.85,76.57%,23.4%
Vibe set | 32 szt,ZESTAWY,50.77,200.0,114.83,69.34%,30.7%
Hikari set | 48 szt,ZESTAWY,55.05,245.0,147.81,72.86%,27.1%
Sakura set | 62 szt,ZESTAWY,69.78,295.0,174.48,71.43%,28.6%
Itsuki set | 24 szt,ZESTAWY,31.29,120.0,68.07,68.51%,31.5%
Misora set | 32 szt + napój,ZESTAWY,46.88,170.0,93.88,66.70%,33.3%
California SHIITAKE,WEGE MENU,9.77,38.0,21.7,68.96%,31.0%
Futo SHIITAKE,WEGE MENU,6.61,26.0,14.92,69.30%,30.7%
Awokado fresh roll,WEGE MENU,9.53,38.0,21.93,69.71%,30.3%
Futo AWOKADO,WEGE MENU,5.93,25.0,14.77,71.37%,28.6%
Futo MANGO,WEGE MENU,5.3,25.0,15.4,74.38%,25.6%
Futo WARZYWA TEMPURA,WEGE MENU,4.56,25.0,16.14,77.99%,22.0%
Wege set | 44 szt,WEGE MENU,22.94,150.0,101.26,81.53%,18.5%
California Warzywa w tempurze,WEGE MENU,5.31,35.0,23.67,81.67%,18.3%
Promo 1 + 1 SOBAKI VIBE,SUSHI DOG,22.16,80.0,44.08,66.55%,33.5%
SD MR_KRABS,SUSHI DOG,8.84,40.0,24.28,73.29%,26.7%
Sushi dog SHIITAKE,SUSHI DOG,5.48,30.0,19.36,77.95%,22.1%
SD Grill + wakame,SUSHI DOG,6.6,40.0,26.52,80.07%,19.9%
SD kalmar + tatar,SUSHI DOG,6.71,40.0,26.41,79.73%,20.3%
Promo Burger 1+1,SUSHI BURGER,35.36,120.0,64.0,64.42%,35.6%
Burger czarny ryż KREWETKA GOTOWANA,SUSHI BURGER,12.37,60.0,29.21,70.24%,29.8%
Burger krewetka panko,SUSHI BURGER,13.4,60.0,28.18,67.78%,32.2%
Krabs-burger,SUSHI BURGER,12.27,55.0,33.27,73.07%,26.9%
Burger łosoś surowy,SUSHI BURGER,11.91,60.0,37.77,76.03%,24.0%
Burger grill łosoś,SUSHI BURGER,11.18,60.0,38.5,77.50%,22.5%
B. Wege,SUSHI BURGER,8.54,50.0,32.86,79.38%,20.6%
ZR Krewetki,ROLKI ZAPIECZONE,13.31,60.0,28.27,67.99%,32.0%
ZR Krewetka Ebi & Mango,ROLKI ZAPIECZONE,12.91,60.0,28.67,68.95%,31.0%
ZR Krewetka panko,ROLKI ZAPIECZONE,12.26,60.0,29.32,70.52%,29.5%
ZR Surowy,ROLKI ZAPIECZONE,12.11,60.0,37.57,75.62%,24.4%
ZR Felix,ROLKI ZAPIECZONE,10.83,60.0,38.85,78.21%,21.8%
ZR Łosoś pieczony,ROLKI ZAPIECZONE,10.58,60.0,39.1,78.70%,21.3%
ZR Krab,ROLKI ZAPIECZONE,7.53,50.0,33.87,81.82%,18.2%
RT Ebi,ROLKI W TEMPURZE,13.79,60.0,27.79,66.84%,33.2%
RT Hoso GRILL,ROLKI W TEMPURZE,6.0,27.0,16.36,73.18%,26.8%
RT Surowy,ROLKI W TEMPURZE,12.89,60.0,36.79,74.06%,25.9%
RT Grill,ROLKI W TEMPURZE,12.31,60.0,37.37,75.21%,24.8%
Saga roll,ROLKI AUTORSKIE,16.78,62.0,26.19,60.95%,39.1%
Yakuza roll,ROLKI AUTORSKIE,17.24,65.0,27.8,61.72%,38.3%
Tiger roll,ROLKI AUTORSKIE,15.02,58.0,25.17,62.62%,37.4%
Tokyo roll,ROLKI AUTORSKIE,14.03,57.0,25.47,64.48%,35.5%
Sunrise roll,ROLKI AUTORSKIE,14.16,57.0,25.34,64.15%,35.9%
Atlantic Wave,ROLKI AUTORSKIE,13.87,60.0,27.71,66.65%,33.4%
Red Dragon roll,ROLKI AUTORSKIE,14.85,65.0,30.2,67.04%,33.0%
Red allert roll,ROLKI AUTORSKIE,15.51,67.0,30.92,66.59%,33.4%
Black dragon roll,ROLKI AUTORSKIE,18.29,70.0,39.67,68.44%,31.6%
Canada roll,ROLKI AUTORSKIE,17.63,67.0,37.84,68.22%,31.8%
Tempura fusion roll,ROLKI AUTORSKIE,12.44,55.0,25.68,67.36%,32.6%
Ocean roll,ROLKI AUTORSKIE,17.37,70.0,31.14,64.19%,35.8%
Akami Tamago roll,ROLKI AUTORSKIE,13.43,50.0,27.97,67.55%,32.5%
Bonito roll,ROLKI AUTORSKIE,13.64,55.0,31.9,70.04%,30.0%
Cheddar roll,ROLKI AUTORSKIE,13.67,65.0,31.37,69.65%,30.4%
Takumi roll,ROLKI AUTORSKIE,13.59,65.0,31.45,69.82%,30.2%
Green dragon roll,ROLKI AUTORSKIE,15.28,62.0,36.05,70.23%,29.8%
Awokado delux,ROLKI AUTORSKIE,12.37,55.0,33.17,72.84%,27.2%
Vibe Roll Krewetka,ROLKI AUTORSKIE,10.28,52.0,25.76,71.47%,28.5%
